Days to Deliver,Comments,Approved By,Manufacturer,Return Reason,Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Discount,Region,Order Date,Ship Date
4,Customer found better deal elsewhere,M Gomez,Sauder,No Longer Needed,1763,CA-2016-130785,Standard Class,AG-10900,Arthur Gainer,Consumer,United States,San Diego,California,92105,FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",293.199,3,-20.6964,0.15,West,05-09-2016,09-09-2016
4,Customer found better deal elsewhere,M Gomez,Sauder,No Longer Needed,1763,CA-2016-130785,Standard Class,AG-10900,Arthur Gainer,Consumer,United States,San Diego,California,92105,FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",293.199,3,-20.6964,0.15,West,05-09-2016,09-09-2016
4,,,Standard,General,6240,CA-2016-134075,Standard Class,HA-14905,Helen Abelman,Consumer,United States,San Jose,California,95123,OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,360.38,2,93.6988,0,West,12-12-2016,16-12-2016
4,,,Standard,General,6240,CA-2016-134075,Standard Class,HA-14905,Helen Abelman,Consumer,United States,San Jose,California,95123,OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,360.38,2,93.6988,0,West,12-12-2016,16-12-2016
4,,,Zebra,General,6011,CA-2016-135580,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2548.56,6,286.713,0.2,West,30-12-2016,03-01-2017
4,,,Zebra,General,6011,CA-2016-135580,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2548.56,6,286.713,0.2,West,30-12-2016,03-01-2017
4,,,Zebra,General,6011,CA-2016-135580,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2548.56,6,286.713,0.2,West,30-12-2016,03-01-2017
4,,,Zebra,General,6011,CA-2016-135580,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2548.56,6,286.713,0.2,West,30-12-2016,03-01-2017
4,,,Zebra,General,6011,CA-2016-135580,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2548.56,6,286.713,0.2,West,30-12-2016,03-01-2017
2,,,GBC,General,9955,CA-2016-141593,Second Class,DB-12970,Darren Budd,Corporate,United States,Los Angeles,California,90045,OFF-BI-10000948,Office Supplies,Binders,"GBC Laser Imprintable Binding System Covers, Desert Sand",34.248,3,11.5587,0.2,West,14-12-2016,16-12-2016
2,,,GBC,General,9955,CA-2016-141593,Second Class,DB-12970,Darren Budd,Corporate,United States,Los Angeles,California,90045,OFF-BI-10000948,Office Supplies,Binders,"GBC Laser Imprintable Binding System Covers, Desert Sand",34.248,3,11.5587,0.2,West,14-12-2016,16-12-2016
2,,,GBC,General,9955,CA-2016-141593,Second Class,DB-12970,Darren Budd,Corporate,United States,Los Angeles,California,90045,OFF-BI-10000948,Office Supplies,Binders,"GBC Laser Imprintable Binding System Covers, Desert Sand",34.248,3,11.5587,0.2,West,14-12-2016,16-12-2016
2,,,GBC,General,9955,CA-2016-141593,Second Class,DB-12970,Darren Budd,Corporate,United States,Los Angeles,California,90045,OFF-BI-10000948,Office Supplies,Binders,"GBC Laser Imprintable Binding System Covers, Desert Sand",34.248,3,11.5587,0.2,West,14-12-2016,16-12-2016
2,customer meant to order different color.,C Arnold,Tennsco,Incorrect Product Ordered,4720,CA-2016-142601,Second Class,DE-13255,Deanra Eno,Home Office,United States,Los Angeles,California,90004,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",947.17,7,9.471700000,0,West,18-04-2016,20-04-2016
2,customer meant to order different color.,C Arnold,Tennsco,Incorrect Product Ordered,4720,CA-2016-142601,Second Class,DE-13255,Deanra Eno,Home Office,United States,Los Angeles,California,90004,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",947.17,7,9.471700000,0,West,18-04-2016,20-04-2016
2,Appeared to be corrupt,E Williams,Memorex,Defective,2536,CA-2016-143238,First Class,LO-17170,Lori Olson,Corporate,United States,La Quinta,California,92253,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,46.32,4,18.0648,0,West,06-09-2016,08-09-2016
7,Website listed cord as 6' and item cord is 5',G Lindsay,AT&T,Product Listed Incorrectly,1093,CA-2016-143490,Standard Class,NP-18325,Naresj Patel,Consumer,United States,San Diego,California,92105,TEC-PH-10000576,Technology,Phones,AT&T 1080 Corded phone,219.184,2,19.1786,0.2,West,06-12-2016,13-12-2016
7,Website listed cord as 6' and item cord is 5',G Lindsay,AT&T,Product Listed Incorrectly,1093,CA-2016-143490,Standard Class,NP-18325,Naresj Patel,Consumer,United States,San Diego,California,92105,TEC-PH-10000576,Technology,Phones,AT&T 1080 Corded phone,219.184,2,19.1786,0.2,West,06-12-2016,13-12-2016
3,bindings were not compatible with machine,M Gomez,Fellowes,Incorrect Product Ordered,886,CA-2016-143602,Second Class,JS-15595,Jill Stevenson,Corporate,United States,Los Angeles,California,90045,OFF-BI-10002071,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings,13.944,3,4.5318,0.2,West,25-04-2016,28-04-2016
2,customer ordered too much paper.,G Lindsay,Xerox,No Longer Needed,779,CA-2016-144267,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,59.94,3,28.1718,0,West,21-08-2016,23-08-2016
2,customer ordered too much paper.,G Lindsay,Xerox,No Longer Needed,780,CA-2016-144267,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,23.92,4,11.7208,0,West,21-08-2016,23-08-2016
2,customer ordered too much paper.,G Lindsay,Xerox,No Longer Needed,779,CA-2016-144267,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,59.94,3,28.1718,0,West,21-08-2016,23-08-2016
2,customer ordered too much paper.,G Lindsay,Xerox,No Longer Needed,780,CA-2016-144267,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,23.92,4,11.7208,0,West,21-08-2016,23-08-2016
2,customer ordered too much paper.,G Lindsay,Xerox,No Longer Needed,779,CA-2016-144267,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,59.94,3,28.1718,0,West,21-08-2016,23-08-2016
2,customer ordered too much paper.,G Lindsay,Xerox,No Longer Needed,780,CA-2016-144267,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,23.92,4,11.7208,0,West,21-08-2016,23-08-2016
2,customer ordered too much paper.,G Lindsay,Xerox,No Longer Needed,779,CA-2016-144267,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,59.94,3,28.1718,0,West,21-08-2016,23-08-2016
2,customer ordered too much paper.,G Lindsay,Xerox,No Longer Needed,780,CA-2016-144267,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110,OFF-PA-10001947,Office Supplies,Paper,Xerox 1974,23.92,4,11.7208,0,West,21-08-2016,23-08-2016
3,,,Novimex,Defective,6424,CA-2016-149650,First Class,RD-19660,Robert Dilbeck,Home Office,United States,Oakland,California,94601,FUR-CH-10003956,Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,454.272,8,-73.819200000,0.2,West,24-10-2016,27-10-2016
3,,,Newell,Incorrect Product Ordered,7217,CA-2016-150770,First Class,LC-16870,Lena Cacioppo,Consumer,United States,San Francisco,California,94109,OFF-AR-10001246,Office Supplies,Art,Newell 317,8.82,3,2.5578,0,West,03-05-2016,06-05-2016
3,,,Newell,Incorrect Product Ordered,7217,CA-2016-150770,First Class,LC-16870,Lena Cacioppo,Consumer,United States,San Francisco,California,94109,OFF-AR-10001246,Office Supplies,Art,Newell 317,8.82,3,2.5578,0,West,03-05-2016,06-05-2016
3,,,Newell,Incorrect Product Ordered,7217,CA-2016-150770,First Class,LC-16870,Lena Cacioppo,Consumer,United States,San Francisco,California,94109,OFF-AR-10001246,Office Supplies,Art,Newell 317,8.82,3,2.5578,0,West,03-05-2016,06-05-2016
3,,,Newell,Incorrect Product Ordered,7217,CA-2016-150770,First Class,LC-16870,Lena Cacioppo,Consumer,United States,San Francisco,California,94109,OFF-AR-10001246,Office Supplies,Art,Newell 317,8.82,3,2.5578,0,West,03-05-2016,06-05-2016
4,Customer wanted digital clock,G Lindsay,Executive Impressions,Incorrect Product Ordered,3677,CA-2016-156440,Standard Class,MH-17620,Matt Hagelstein,Corporate,United States,San Diego,California,92105,FUR-FU-10004090,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",44.46,2,14.6718,0,West,05-12-2016,09-12-2016
2,Drive appeared corrupt,F Azad,Memorex,Defective,3291,CA-2016-157770,First Class,RD-19585,Rob Dowd,Consumer,United States,Temecula,California,92592,TEC-AC-10003399,Technology,Accessories,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,36.24,1,15.2208,0,West,13-12-2016,15-12-2016
2,Drive appeared corrupt,F Azad,Memorex,Defective,3291,CA-2016-157770,First Class,RD-19585,Rob Dowd,Consumer,United States,Temecula,California,92592,TEC-AC-10003399,Technology,Accessories,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,36.24,1,15.2208,0,West,13-12-2016,15-12-2016
2,Drive appeared corrupt,F Azad,Memorex,Defective,3291,CA-2016-157770,First Class,RD-19585,Rob Dowd,Consumer,United States,Temecula,California,92592,TEC-AC-10003399,Technology,Accessories,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,36.24,1,15.2208,0,West,13-12-2016,15-12-2016
2,Drive appeared corrupt,F Azad,Memorex,Defective,3291,CA-2016-157770,First Class,RD-19585,Rob Dowd,Consumer,United States,Temecula,California,92592,TEC-AC-10003399,Technology,Accessories,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,36.24,1,15.2208,0,West,13-12-2016,15-12-2016
5,,,Novimex,General,5164,CA-2016-161627,Standard Class,SJ-20215,Sarah Jordon,Consumer,United States,Pasadena,California,91104,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,170.352,3,-17.0352,0.2,West,06-07-2016,11-07-2016
3,,,Xerox,Incorrect Product Ordered,5057,CA-2016-162166,First Class,NM-18520,Neoma Murray,Consumer,United States,Moreno Valley,California,92553,OFF-PA-10002606,Office Supplies,Paper,Xerox 1928,26.4,5,11.88,0,West,08-09-2016,11-09-2016
3,,,Xerox,Incorrect Product Ordered,5057,CA-2016-162166,First Class,NM-18520,Neoma Murray,Consumer,United States,Moreno Valley,California,92553,OFF-PA-10002606,Office Supplies,Paper,Xerox 1928,26.4,5,11.88,0,West,08-09-2016,11-09-2016
0,customer ordered too many,C Arnold,Acme,Incorrect Product Ordered,2113,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,29.7,3,8.019,0,West,31-10-2016,31-10-2016
0,,,Polycom,Incorrect Product Ordered,2114,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1295.84,4,145.782,0.2,West,31-10-2016,31-10-2016
0,customer ordered too many,C Arnold,Acme,Incorrect Product Ordered,2113,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,29.7,3,8.019,0,West,31-10-2016,31-10-2016
0,,,Polycom,Incorrect Product Ordered,2114,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1295.84,4,145.782,0.2,West,31-10-2016,31-10-2016
0,customer ordered too many,C Arnold,Acme,Incorrect Product Ordered,2113,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,29.7,3,8.019,0,West,31-10-2016,31-10-2016
0,,,Polycom,Incorrect Product Ordered,2114,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1295.84,4,145.782,0.2,West,31-10-2016,31-10-2016
0,customer ordered too many,C Arnold,Acme,Incorrect Product Ordered,2113,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,29.7,3,8.019,0,West,31-10-2016,31-10-2016
0,,,Polycom,Incorrect Product Ordered,2114,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1295.84,4,145.782,0.2,West,31-10-2016,31-10-2016
0,customer ordered too many,C Arnold,Acme,Incorrect Product Ordered,2113,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,29.7,3,8.019,0,West,31-10-2016,31-10-2016
0,,,Polycom,Incorrect Product Ordered,2114,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1295.84,4,145.782,0.2,West,31-10-2016,31-10-2016
0,customer ordered too many,C Arnold,Acme,Incorrect Product Ordered,2113,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,29.7,3,8.019,0,West,31-10-2016,31-10-2016
0,,,Polycom,Incorrect Product Ordered,2114,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1295.84,4,145.782,0.2,West,31-10-2016,31-10-2016
0,customer ordered too many,C Arnold,Acme,Incorrect Product Ordered,2113,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,29.7,3,8.019,0,West,31-10-2016,31-10-2016
0,,,Polycom,Incorrect Product Ordered,2114,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1295.84,4,145.782,0.2,West,31-10-2016,31-10-2016
0,customer ordered too many,C Arnold,Acme,Incorrect Product Ordered,2113,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,29.7,3,8.019,0,West,31-10-2016,31-10-2016
0,,,Polycom,Incorrect Product Ordered,2114,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1295.84,4,145.782,0.2,West,31-10-2016,31-10-2016
0,customer ordered too many,C Arnold,Acme,Incorrect Product Ordered,2113,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,29.7,3,8.019,0,West,31-10-2016,31-10-2016
0,,,Polycom,Incorrect Product Ordered,2114,CA-2016-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1295.84,4,145.782,0.2,West,31-10-2016,31-10-2016
0,,,ACCOHIDE,Incorrect Product Ordered,2931,CA-2016-168564,Same Day,TT-21220,Thomas Thornton,Consumer,United States,San Francisco,California,94109,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",6.608,2,2.2302,0.2,West,08-08-2016,08-08-2016
0,,,ACCOHIDE,Incorrect Product Ordered,2931,CA-2016-168564,Same Day,TT-21220,Thomas Thornton,Consumer,United States,San Francisco,California,94109,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",6.608,2,2.2302,0.2,West,08-08-2016,08-08-2016
0,,,ACCOHIDE,Incorrect Product Ordered,2931,CA-2016-168564,Same Day,TT-21220,Thomas Thornton,Consumer,United States,San Francisco,California,94109,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",6.608,2,2.2302,0.2,West,08-08-2016,08-08-2016
5,Customer found comparable product at local store,R Chen,Panasonic,No Longer Needed,91,CA-2017-109806,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,8.2782,0.2,West,17-09-2017,22-09-2017
5,Customer found comparable product at local store,R Chen,Panasonic,No Longer Needed,91,CA-2017-109806,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,8.2782,0.2,West,17-09-2017,22-09-2017
5,Customer found comparable product at local store,R Chen,Panasonic,No Longer Needed,91,CA-2017-109806,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,8.2782,0.2,West,17-09-2017,22-09-2017
6,,,REDIFORM,General,1105,CA-2017-112340,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Riverside,California,92503,OFF-PA-10001892,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",22.92,3,11.2308,0,West,21-10-2017,27-10-2017
4,White chairs were shipped. Customer just wants refund,R. Duchesne,Other,Incorrect Product Shipped,8647,CA-2017-113341,Standard Class,MH-17455,Mark Hamilton,Consumer,United States,Los Angeles,California,90032,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",194.352,3,19.4352,0.2,West,25-11-2017,29-11-2017
5,,,Luxo,General,639,CA-2017-115917,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Vallejo,California,94591,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,5,272.792,0,West,20-05-2017,25-05-2017
5,,,Luxo,General,639,CA-2017-115917,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Vallejo,California,94591,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,5,272.792,0,West,20-05-2017,25-05-2017
1,,,Acme,Incorrect Product Ordered,8666,CA-2017-118500,First Class,HJ-14875,Heather Jas,Home Office,United States,San Francisco,California,94122,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,49.5,5,13.365,0,West,17-11-2017,18-11-2017
1,"item was received too late, customer found item in store first",S Kelly,Other,No Longer Needed,6791,CA-2017-124527,First Class,IM-15055,Ionia McGrath,Consumer,United States,Roseville,California,95661,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,8.32,5,2.808,0.2,West,16-11-2017,17-11-2017
3,,,Avery,Incorrect Product Ordered,9611,CA-2017-130638,Second Class,SC-20095,Sanjit Chand,Consumer,United States,Los Angeles,California,90045,OFF-LA-10002195,Office Supplies,Labels,Avery 481,27.72,9,13.3056,0,West,16-05-2017,19-05-2017
3,,,Avery,Incorrect Product Ordered,9611,CA-2017-130638,Second Class,SC-20095,Sanjit Chand,Consumer,United States,Los Angeles,California,90045,OFF-LA-10002195,Office Supplies,Labels,Avery 481,27.72,9,13.3056,0,West,16-05-2017,19-05-2017
5,,,Other,Incorrect Product Shipped,3529,CA-2017-130680,Standard Class,BD-11320,Bill Donatelli,Consumer,United States,San Diego,California,92024,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,38.24,4,-9.56,0.2,West,24-06-2017,29-06-2017
6,,,Wilson Jones,Defective,6116,CA-2017-133802,Standard Class,SP-20650,Stephanie Phelps,Corporate,United States,Redwood City,California,94061,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,41.904,6,14.1426,0.2,West,14-03-2017,20-03-2017
1,Customer meant to order different cards.,E Williams,Southworth,Incorrect Product Ordered,382,CA-2017-134775,First Class,AS-10285,Alejandro Savely,Corporate,United States,San Francisco,California,94109,OFF-PA-10004734,Office Supplies,Paper,Southworth Structures Collection,50.96,7,25.48,0,West,28-10-2017,29-10-2017
1,Customer meant to order different cards.,E Williams,Southworth,Incorrect Product Ordered,382,CA-2017-134775,First Class,AS-10285,Alejandro Savely,Corporate,United States,San Francisco,California,94109,OFF-PA-10004734,Office Supplies,Paper,Southworth Structures Collection,50.96,7,25.48,0,West,28-10-2017,29-10-2017
6,Replacement machine sent,C Arnold,Okidata,Defective,3425,CA-2017-134803,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90004,TEC-MA-10001972,Technology,Machines,Okidata C331dn Printer,558.4,2,41.88,0.2,West,28-05-2017,03-06-2017
6,Replacement machine sent,C Arnold,Okidata,Defective,3425,CA-2017-134803,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90004,TEC-MA-10001972,Technology,Machines,Okidata C331dn Printer,558.4,2,41.88,0.2,West,28-05-2017,03-06-2017
6,Replacement machine sent,C Arnold,Okidata,Defective,3425,CA-2017-134803,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90004,TEC-MA-10001972,Technology,Machines,Okidata C331dn Printer,558.4,2,41.88,0.2,West,28-05-2017,03-06-2017
6,Replacement machine sent,C Arnold,Okidata,Defective,3425,CA-2017-134803,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90004,TEC-MA-10001972,Technology,Machines,Okidata C331dn Printer,558.4,2,41.88,0.2,West,28-05-2017,03-06-2017
6,Replacement machine sent,C Arnold,Okidata,Defective,3425,CA-2017-134803,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90004,TEC-MA-10001972,Technology,Machines,Okidata C331dn Printer,558.4,2,41.88,0.2,West,28-05-2017,03-06-2017
4,,,Other,General,5776,CA-2017-142398,Standard Class,BP-11290,Beth Paige,Consumer,United States,Los Angeles,California,90036,OFF-BI-10004826,Office Supplies,Binders,JM Magazine Binder,13.208,1,4.6228,0.2,West,12-04-2017,16-04-2017
4,,,Other,General,5776,CA-2017-142398,Standard Class,BP-11290,Beth Paige,Consumer,United States,Los Angeles,California,90036,OFF-BI-10004826,Office Supplies,Binders,JM Magazine Binder,13.208,1,4.6228,0.2,West,12-04-2017,16-04-2017
7,customer found item cheaper at online discount store,R Chen,Other,No Longer Needed,5398,CA-2017-145492,Standard Class,MC-17605,Matt Connell,Corporate,United States,Los Angeles,California,90004,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",39,12,11.31,0,West,20-11-2017,27-11-2017
6,,,Sanford,incorrect Product Ordered,136,CA-2017-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,3.456,0,West,13-10-2017,19-10-2017
6,This item was never shipped. Did not arrive with order,C Arnold,GBC,Incorrect Product Shipped,138,CA-2017-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,26.6616,0.2,West,13-10-2017,19-10-2017
6,customer got item cheaper at online discount store,M Gomez,Other,No Longer Needed,140,CA-2017-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,20.6976,0,West,13-10-2017,19-10-2017
6,,,Sanford,incorrect Product Ordered,136,CA-2017-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,3.456,0,West,13-10-2017,19-10-2017
6,This item was never shipped. Did not arrive with order,C Arnold,GBC,Incorrect Product Shipped,138,CA-2017-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,26.6616,0.2,West,13-10-2017,19-10-2017
6,customer got item cheaper at online discount store,M Gomez,Other,No Longer Needed,140,CA-2017-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,20.6976,0,West,13-10-2017,19-10-2017
6,,,Sanford,incorrect Product Ordered,136,CA-2017-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,3.456,0,West,13-10-2017,19-10-2017
6,This item was never shipped. Did not arrive with order,C Arnold,GBC,Incorrect Product Shipped,138,CA-2017-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,26.6616,0.2,West,13-10-2017,19-10-2017
6,customer got item cheaper at online discount store,M Gomez,Other,No Longer Needed,140,CA-2017-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,20.6976,0,West,13-10-2017,19-10-2017
6,,,Sanford,incorrect Product Ordered,136,CA-2017-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,3.456,0,West,13-10-2017,19-10-2017
